"card_id","card_name","collection_name","type_name","stage_name","hp","info","attack","damage","weak","resis","retreat","card_number_in_collection","collection_release_date","card_created_at"
16,"Dark Charizard","Team Rocket","Darkness","Stage 2",80,"Flame Pokémon. Seemingly possessed by evil energy, its fiery breath is dark and scorching hot.","Continuous Fireball",50,"Water","Fighting -30","3 Colorless","4/83","2000-04-24","2026-08-10 11:08:22.489454-03"
17,"Dark Raichu","Team Rocket","Lightning","Stage 1",70,"Mouse Pokémon. Extremely aggressive and quick-tempered when manipulated by Team Rocket handlers.","Surprise Thunder",30,"Fighting",NULL,"1 Colorless","83/83","2000-04-24","2026-08-10 11:08:22.489454-03"
18,"Lugia","Neo Genesis","Colorless","Basic",90,"Diving Pokémon. It is said that it quietens raging seas. It causes 40-day storms merely by flapping its wings.","Elemental Blast",90,"Psychic","Fighting -30","2 Colorless","9/111","2000-12-16","2026-08-10 11:08:22.489454-03"
19,"Typhlosion","Neo Genesis","Fire","Stage 2",100,"Volcano Pokémon. If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames.","Flame Burst",60,"Water",NULL,"1 Colorless","17/111","2000-12-16","2026-08-10 11:08:22.489454-03"
20,"Rayquaza VMAX","Evolving Skies","Dragon","VMAX",320,"Sky High Pokémon. It flies endlessly through the ozone layer. It feeds on water and particles in the atmosphere.","Max Burst",180,NULL,NULL,"2 Colorless","218/203","2021-08-27","2026-08-10 11:08:22.489454-03"
21,"Umbreon VMAX","Evolving Skies","Darkness","VMAX",310,"Moonlight Pokémon. When exposed to the moon's aura, the rings on its body glow and a mysterious energy awakens.","Max Darkness",160,"Grass",NULL,"2 Colorless","215/203","2021-08-27","2026-08-10 11:08:22.489454-03"
22,"Charizard ex","151 (Scarlet & Violet)","Fire","ex",330,"Flame Pokémon. Powerful Tera ex card capable of burning down any opponent with high damage Output.","Explosive Vortex",330,"Water",NULL,"2 Colorless","199/165","2023-09-22","2026-08-10 11:08:22.489454-03"
23,"Alakazam ex","151 (Scarlet & Violet)","Psychic","ex",310,"Psi Pokémon. Uses dimensional attacks from the bench to overwhelm opposing Pokémon.","Dimensional Hand",120,"Darkness","Fighting -30","1 Colorless","201/165","2023-09-22","2026-08-10 11:08:22.489454-03"
24,"Mew","151 (Scarlet & Violet)","Psychic","Basic",60,"New Species Pokémon. A Pokémon of miraculous rarity. It is said to possess the genetic composition of all Pokémon.","Restart",20,"Darkness","Fighting -30","1 Colorless","151/165","2023-09-22","2026-08-10 11:09:20.132724-03"
25,"Arcanine","Base Set","Fire","Stage 1",100,"Legendary Pokémon. A Pokémon that has long been admired for its beauty. It runs gracefully as if on wings.","Flamethrower",50,"Water",NULL,"3 Colorless","23/102","1999-01-09","2026-08-10 11:09:20.132724-03"
26,"Haunter","Base Set","Psychic","Stage 1",60,"Gas Pokémon. Because of its ability to slip through solid walls, it is said to be from another dimension.","Nightmare",10,NULL,"Fighting -30","1 Colorless","29/102","1999-01-09","2026-08-10 11:09:20.132724-03"
27,"Raichu","Base Set","Lightning","Stage 1",80,"Mouse Pokémon. Its long tail serves as a ground to protect itself from its own high voltage power.","Thunder",60,"Fighting",NULL,"1 Colorless","14/102","1999-01-09","2026-08-10 11:09:20.132724-03"
28,"Ninetales","Base Set","Fire","Stage 1",80,"Fox Pokémon. Very smart and very vindictive. Grabbing one of its 9 tails could result in a 1,000-year curse.","Fire Blast",80,"Water",NULL,"1 Colorless","12/102","1999-01-09","2026-08-10 11:09:20.132724-03"
29,"Lapras","Fossil","Water","Basic",80,"Transport Pokémon. A Pokémon that has been overhunted almost to extinction. It can ferry people across water.","Water Gun",20,"Lightning",NULL,"2 Colorless","10/62","1999-10-10","2026-08-10 11:09:20.132724-03"
30,"Aerodactyl","Fossil","Fighting","Stage 1",60,"Fossil Pokémon. A ferocious, prehistoric Pokémon that goes for the enemy's throat with its serrated teeth.","Wing Attack",30,"Grass","Fighting -30","2 Colorless","1/62","1999-10-10","2026-08-10 11:09:20.132724-03"
31,"Moltres","Fossil","Fire","Basic",70,"Flame Pokémon. Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.","Wildfire",40,NULL,"Fighting -30","2 Colorless","12/62","1999-10-10","2026-08-10 11:09:20.132724-03"
32,"Scizor","Neo Genesis","Metal","Stage 1",80,"Scissors Pokémon. It swings its eye-patterned pincers up to intimidate its foes. This makes it look like it has three heads.","Heavy Slash",50,"Fire","Grass -30","2 Colorless","10/111","2000-12-16","2026-08-10 11:09:20.132724-03"
33,"Kingdra","Neo Genesis","Water","Stage 2",90,"Dragon Pokémon. It is said that it usually hides in underwater caves. It can create whirlpools by yawning.","Water Cyclone",60,"Lightning",NULL,"1 Colorless","8/111","2000-12-16","2026-08-10 11:09:20.132724-03"
34,"Dark Blastoise","Team Rocket","Water","Stage 2",70,"Shellfish Pokémon. An aggressive Pokémon that uses high pressure water cannons to smash through steel walls.","Hydrocannon",70,"Lightning",NULL,"2 Colorless","3/83","2000-04-24","2026-08-10 11:09:20.132724-03"
35,"Dark Dragonite","Team Rocket","Colorless","Stage 2",70,"Dragon Pokémon. Seemingly ruthless, it flies at Mach 2 speeds over oceans seeking targets.","Giant Tail",70,NULL,"Fighting -30","2 Colorless","5/83","2000-04-24","2026-08-10 11:09:20.132724-03"
36,"Sylveon VMAX","Evolving Skies","Psychic","VMAX",310,"Intertwining Pokémon. It wraps its ribbonlike feelers around its beloved Trainer's arm as they walk together.","Max Harmony",190,"Metal",NULL,"2 Colorless","212/203","2021-08-27","2026-08-10 11:09:20.132724-03"
37,"Gengar VMAX","Evolving Skies","Darkness","VMAX",320,"Shadow Pokémon. It swallows everything around it, expanding its mouth into a cavern of endless dark energy.","Fear Panic",240,"Fighting",NULL,"3 Colorless","157/264","2021-08-27","2026-08-10 11:09:20.132724-03"
38,"Gardevoir ex","151 (Scarlet & Violet)","Psychic","ex",310,"Embrace Pokémon. It will unleash its psychokinetic power at full force to protect a Trainer it trusts.","Miracle Force",190,"Darkness","Fighting -30","2 Colorless","086/198","2023-09-22","2026-08-10 11:09:20.132724-03"
39,"Venusaur ex","151 (Scarlet & Violet)","Grass","ex",340,"Seed Pokémon. A large flower blooms on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of sunlight.","Toxic Whip",150,"Fire",NULL,"4 Colorless","198/165","2023-09-22","2026-08-10 11:09:20.132724-03"
40,"Blastoise ex","151 (Scarlet & Violet)","Water","ex",330,"Shellfish Pokémon. It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.","Twin Cannons",280,"Lightning",NULL,"3 Colorless","200/165","2023-09-22","2026-08-10 11:09:20.132724-03"
41,"Kangaskhan","Jungle","Colorless","Basic",90,"Parent Pokémon. The infant rarely ventures out of its mother's protective pouch until it is three years old.","Comet Punch",40,"Fighting","Psychic -30","3 Colorless","5/64","1999-06-16","2026-08-10 11:09:20.132724-03"
42,"Pinsir","Jungle","Grass","Basic",60,"Stagbeetle Pokémon. If it fails to crush the foe in its pincers, it will swing its victim around and toss it hard.","Guillotine",50,"Fire",NULL,"1 Colorless","9/64","1999-06-16","2026-08-10 11:09:20.132724-03"
43,"Dragonair","Base Set","Colorless","Stage 1",80,"Dragon Pokémon. A mystical Pokémon that exudes a gentle aura. Said to have the ability to change weather conditions.","Hyper Beam",20,NULL,"Psychic -30","2 Colorless","18/102","1999-01-09","2026-08-10 11:09:20.132724-03"
54,"Charmander","Base Set","Fire","Basic",50,"Lizard Pokémon. Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.","Scratch / Ember",30,"Water",NULL,"1 Colorless","46/102","1999-01-09","2026-08-10 11:13:20.173216-03"
55,"Charmeleon","Base Set","Fire","Stage 1",80,"Flame Pokémon. When it swings its burning tail, it elevates the temperature to insanely high levels.","Flamethrower",50,"Water",NULL,"1 Colorless","24/102","1999-01-09","2026-08-10 11:13:20.173216-03"
56,"Squirtle","Base Set","Water","Basic",40,"Tiny Turtle Pokémon. Shoots water at prey while in the water. Withdraws into its shell when in danger.","Bubble / Water Gun",20,"Lightning",NULL,"1 Colorless","63/102","1999-01-09","2026-08-10 11:13:20.173216-03"
57,"Wartortle","Base Set","Water","Stage 1",70,"Turtle Pokémon. Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.","Bite / Hydro Pump",40,"Lightning",NULL,"1 Colorless","42/102","1999-01-09","2026-08-10 11:13:20.173216-03"
58,"Bulbasaur","Base Set","Grass","Basic",40,"Seed Pokémon. A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.","Leech Seed",20,"Fire",NULL,"1 Colorless","44/102","1999-01-09","2026-08-10 11:13:20.173216-03"
59,"Ivysaur","Base Set","Grass","Stage 1",60,"Seed Pokémon. When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.","Vine Whip",30,"Fire",NULL,"1 Colorless","30/102","1999-01-09","2026-08-10 11:13:20.173216-03"
60,"Pidgeot","Jungle","Colorless","Stage 2",80,"Bird Pokémon. When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp.","Hurricane",30,"Lightning","Fighting -30","0 Colorless","8/64","1999-06-16","2026-08-10 11:13:20.173216-03"
61,"Tyranitar","Neo Genesis","Darkness","Stage 2",100,"Armor Pokémon. If it rages, it knocks down mountains and fills up rivers. Maps must be redrawn afterward.","Slam / Crunch",50,"Grass","Psychic -30","3 Colorless","31/111","2000-12-16","2026-08-10 11:13:20.173216-03"
62,"Feraligatr","Neo Genesis","Water","Stage 2",120,"Big Jaw Pokémon. It opens its huge mouth to intimidate enemies. In battle, it runs using its thick legs.","Riptide",50,"Grass",NULL,"3 Colorless","5/111","2000-12-16","2026-08-10 11:13:20.173216-03"
63,"Meganium","Neo Genesis","Grass","Stage 2",100,"Herb Pokémon. The aroma that rises from its petals contains a substance that calms aggressive feelings.","Solarbeam",60,"Fire",NULL,"2 Colorless","11/111","2000-12-16","2026-08-10 11:13:20.173216-03"
64,"Pichu","Neo Genesis","Lightning","Basic",30,"Tiny Mouse Pokémon. It is still unskilled at storing electricity. It may discharge if startled.","Zzzap",20,"Fighting",NULL,"0 Colorless","12/111","2000-12-16","2026-08-10 11:13:20.173216-03"
65,"Slowbro","Fossil","Water","Stage 1",60,"Hermit Crab Pokémon. An attached Shellder lives on Slowbro's tail. As a result, Slowbro can no longer fish with it.","Psyshock",20,"Psychic",NULL,"1 Colorless","27/62","1999-10-10","2026-08-10 11:13:20.173216-03"
66,"Muk","Fossil","Grass","Stage 1",70,"Sludge Pokémon. Thickly covered with toxic slime. It leaves behind poison footprints wherever it moves.","Toxic",20,"Psychic",NULL,"2 Colorless","13/62","1999-10-10","2026-08-10 11:13:20.173216-03"
67,"Hitmonlee","Fossil","Fighting","Basic",60,"Kicking Pokémon. When in a hurry, its legs lengthen progressively. It runs smoothly with extra-long strides.","Stretch Kick / High Jump Kick",50,"Psychic",NULL,"1 Colorless","7/62","1999-10-10","2026-08-10 11:13:20.173216-03"
68,"Dark Gyarados","Team Rocket","Water","Stage 1",70,"Atrocious Pokémon. Normally found in deep sea caverns, Team Rocket captured and enraged it.","Ice Beam",30,"Grass","Fighting -30","2 Colorless","8/83","2000-04-24","2026-08-10 11:13:20.173216-03"
69,"Dark Alakazam","Team Rocket","Psychic","Stage 2",60,"Psi Pokémon. Its brain cells multiply until human memory fails to measure its psychic capacity.","Mind Shock",40,"Psychic",NULL,"3 Colorless","1/83","2000-04-24","2026-08-10 11:13:20.173216-03"
70,"Dark Machamp","Team Rocket","Fighting","Stage 2",70,"Superpower Pokémon. Uses four arms to grab and strike targets with unmatched aggression.","Mega Punch",50,"Psychic",NULL,"3 Colorless","10/83","2000-04-24","2026-08-10 11:13:20.173216-03"
71,"Dark Vaporeon","Team Rocket","Water","Stage 1",60,"Bubble Jet Pokémon. Corrupted by dark energy, its water jet attack dissolves solid obstacles.","Whirlpool",20,"Lightning",NULL,"1 Colorless","45/83","2000-04-24","2026-08-10 11:13:20.173216-03"
72,"Dark Jolteon","Team Rocket","Lightning","Stage 1",50,"Lightning Pokémon. Emits intense lightning bolts that crackle around its dark fur.","Thunder Flash",30,"Fighting",NULL,"1 Colorless","33/83","2000-04-24","2026-08-10 11:13:20.173216-03"
73,"Dark Flareon","Team Rocket","Fire","Stage 1",50,"Flame Pokémon. Flushes intense thermal heat to burn opponent Pokémon to ashes.","Fluffy Fire",30,"Water",NULL,"1 Colorless","35/83","2000-04-24","2026-08-10 11:13:20.173216-03"
74,"Dragonite VSTAR","Evolving Skies","Dragon","VSTAR",280,"Dragon Pokémon. Uses VSTAR Power to rain down meteors across the battle field.","Giga Impact",230,NULL,NULL,"2 Colorless","050/078","2021-08-27","2026-08-10 11:13:20.173216-03"
75,"Lucario ex","151 (Scarlet & Violet)","Fighting","ex",260,"Aura Pokémon. By sensing the aura of all things, it can determine feelings and movements.","Aura Sphere",160,"Psychic",NULL,"2 Colorless","079/198","2023-09-22","2026-08-10 11:13:20.173216-03"
76,"Machamp VMAX","Evolving Skies","Fighting","VMAX",330,"Superpower Pokémon. Dynamax power inflates its four arms to crushing proportions.","Max G-Max Gulp",240,"Psychic",NULL,"3 Colorless","073/189","2021-08-27","2026-08-10 11:13:20.173216-03"
77,"Snorlax ex","151 (Scarlet & Violet)","Colorless","ex",260,"Sleeping Pokémon. Powerful ex card that absorbs damage while sleeping peacefully.","Heavy Impact",180,"Fighting",NULL,"4 Colorless","051/091","2023-09-22","2026-08-10 11:13:20.173216-03"
78,"Articuno","Fossil","Water","Basic",70,"Freeze Pokémon. A legendary bird Pokémon that is said to appear to doomed people who are lost in icy mountains.","Freeze Dry / Blizzard",50,NULL,"Fighting -30","2 Colorless","2/62","1999-10-10","2026-08-10 11:13:20.173216-03"
79,"Cubone","Jungle","Fighting","Basic",40,"Lonely Pokémon. Wears the skull of its deceased mother. It cries mournfully at the full moon.","Snivel / Bone Club",20,"Grass","Lightning -30","1 Colorless","50/64","1999-06-16","2026-08-10 11:13:20.173216-03"
80,"Marowak","Jungle","Fighting","Stage 1",60,"Bone Keeper Pokémon. Small and weak, it took to using bones to overcome its natural frailty.","Bonemerang",60,"Grass","Lightning -30","1 Colorless","39/64","1999-06-16","2026-08-10 11:13:20.173216-03"
81,"Clefable","Jungle","Colorless","Stage 1",70,"Fairy Pokémon. A timid fairy Pokémon that is rarely seen. It runs and hides the instant it senses people.","Metronome",0,"Fighting","Psychic -30","2 Colorless","1/64","1999-06-16","2026-08-10 11:13:20.173216-03"
82,"Electabuzz","Base Set","Lightning","Basic",70,"Electric Pokémon. Normally found near power plants, they can cause major blackouts if they wander into cities.","Thundershock / Thunderpunch",40,"Fighting",NULL,"1 Colorless","20/102","1999-01-09","2026-08-10 11:13:20.173216-03"
83,"Chansey","Base Set","Colorless","Basic",120,"Egg Pokémon. A rare and gentle Pokémon that shares its nutritious eggs with injured people.","Double-edge",80,"Fighting","Psychic -30","1 Colorless","3/102","1999-01-09","2026-08-10 11:13:20.173216-03"
